transaction_id,customer_id,transaction_timestamp,product_id,product_name,category,quantity,unit_price,total_amount,payment_method,card_number,store_id,store_city,order_status,ingestion_timestamp,pipeline_run_id
TXN000001,CUST0001,2024-07-10 02:06:04,P007,Jeans,Clothing,2,1621,3242,Cash,,STR003,Bengaluru,Completed,2026-07-02 17:20:57,75971a34
TXN000002,CUST0001,2025-01-11 21:49:33,P021,Cricket Bat,Sports,2,2333,4666,UPI,,STR004,Hyderabad,Completed,2026-07-02 17:20:57,75971a34
TXN000003,CUST0001,2024-12-24 13:51:20,P010,Sneakers,Clothing,1,1965,1965,Credit Card,180039485695001.0,STR005,Chennai,Completed,2026-07-02 17:20:57,75971a34
TXN000004,CUST0001,2025-09-20 16:09:12,P002,Smartphone,Electronics,5,38776,193880,Debit Card,3506066415178320.0,STR007,Pune,Completed,2026-07-02 17:20:57,75971a34
TXN000005,CUST0002,2025-08-11 23:02:15,P011,Rice,Grocery,3,159,477,Credit Card,4.878599449024012e+18,STR004,Hyderabad,Completed,2026-07-02 17:20:57,75971a34
TXN000006,CUST0002,2025-09-16 04:59:59,P003,Tablet,Electronics,1,23016,23016,Debit Card,371892707773934.0,STR002,Mumbai,Completed,2026-07-02 17:20:57,75971a34
TXN000007,CUST0002,2024-11-22 05:17:20,P026,Face Wash,Beauty,4,390,1560,Net Banking,,STR003,Bengaluru,Completed,2026-07-02 17:20:57,75971a34
TXN000008,CUST0002,2025-03-19 19:19:49,P006,T-Shirt,Clothing,4,1227,4908,Credit Card,6570721327770119.0,STR005,Chennai,Completed,2026-07-02 17:20:57,75971a34
TXN000009,CUST0002,2025-12-02 13:21:05,P037,Building Blocks,Toys,4,2641,10564,Credit Card,4471226072887352.0,STR008,Ahmedabad,Completed,2026-07-02 17:20:57,75971a34
TXN000010,CUST0002,2025-08-04 15:14:06,P013,Cooking Oil,Grocery,2,288,576,UPI,,STR004,Hyderabad,Returned,2026-07-02 17:20:57,75971a34
TXN000011,CUST0003,2025-06-16 09:35:47,P026,Face Wash,Beauty,3,161,483,Credit Card,3556641606491283.0,STR007,Pune,Completed,2026-07-02 17:20:57,75971a34
TXN000012,CUST0003,2025-03-06 01:56:21,P001,Laptop,Electronics,4,86618,346472,Cash,,STR002,Mumbai,Completed,2026-07-02 17:20:57,75971a34
TXN000013,CUST0003,2025-06-10 08:06:51,P014,Sugar,Grocery,3,152,456,Credit Card,4451976531548516.0,STR007,Pune,Completed,2026-07-02 17:20:57,75971a34
TXN000014,CUST0003,2024-11-17 22:15:24,P004,Smartwatch,Electronics,4,19488,77952,Credit Card,3575986871895602.0,STR010,Lucknow,Returned,2026-07-02 17:20:57,75971a34
TXN000015,CUST0003,2025-09-05 18:29:19,P008,Jacket,Clothing,4,3138,12552,Debit Card,4.3368453841634627e+18,STR006,Kolkata,Completed,2026-07-02 17:20:57,75971a34
