transaction_id,customer_id,transaction_timestamp,product_id,product_name,category,quantity,unit_price,total_amount,payment_method,card_number,store_id,store_city,order_status,ingestion_timestamp,pipeline_run_id,amount_bucket
TXN000001,CUST0001,2024-07-10 02:06:04,P007,Jeans,Clothing,2,1621,3242,Cash,,STR003,Bengaluru,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000002,CUST0001,2025-01-11 21:49:33,P021,Cricket Bat,Sports,2,2333,4666,UPI,,STR004,Hyderabad,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000003,CUST0001,2024-12-24 13:51:20,P010,Sneakers,Clothing,1,1965,1965,Credit Card,*************01.0,STR005,Chennai,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000004,CUST0001,2025-09-20 16:09:12,P002,Smartphone,Electronics,5,38776,193880,Debit Card,**************20.0,STR007,Pune,Completed,2026-07-02 17:20:57,75971a34,High
TXN000005,CUST0002,2025-08-11 23:02:15,P011,Rice,Grocery,3,159,477,Credit Card,*****************e+18,STR004,Hyderabad,Completed,2026-07-02 17:20:57,75971a34,Low
TXN000006,CUST0002,2025-09-16 04:59:59,P003,Tablet,Electronics,1,23016,23016,Debit Card,*************34.0,STR002,Mumbai,Completed,2026-07-02 17:20:57,75971a34,High
TXN000007,CUST0002,2024-11-22 05:17:20,P026,Face Wash,Beauty,4,390,1560,Net Banking,,STR003,Bengaluru,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000008,CUST0002,2025-03-19 19:19:49,P006,T-Shirt,Clothing,4,1227,4908,Credit Card,**************19.0,STR005,Chennai,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000009,CUST0002,2025-12-02 13:21:05,P037,Building Blocks,Toys,4,2641,10564,Credit Card,**************52.0,STR008,Ahmedabad,Completed,2026-07-02 17:20:57,75971a34,High
TXN000010,CUST0002,2025-08-04 15:14:06,P013,Cooking Oil,Grocery,2,288,576,UPI,,STR004,Hyderabad,Returned,2026-07-02 17:20:57,75971a34,Low
TXN000011,CUST0003,2025-06-16 09:35:47,P026,Face Wash,Beauty,3,161,483,Credit Card,**************83.0,STR007,Pune,Completed,2026-07-02 17:20:57,75971a34,Low
TXN000012,CUST0003,2025-03-06 01:56:21,P001,Laptop,Electronics,4,86618,346472,Cash,,STR002,Mumbai,Completed,2026-07-02 17:20:57,75971a34,High
TXN000013,CUST0003,2025-06-10 08:06:51,P014,Sugar,Grocery,3,152,456,Credit Card,**************16.0,STR007,Pune,Completed,2026-07-02 17:20:57,75971a34,Low
TXN000014,CUST0003,2024-11-17 22:15:24,P004,Smartwatch,Electronics,4,19488,77952,Credit Card,**************02.0,STR010,Lucknow,Returned,2026-07-02 17:20:57,75971a34,High
TXN000015,CUST0003,2025-09-05 18:29:19,P008,Jacket,Clothing,4,3138,12552,Debit Card,*****************e+18,STR006,Kolkata,Completed,2026-07-02 17:20:57,75971a34,High
TXN000016,CUST0003,2026-04-27 01:49:09,P008,Jacket,Clothing,5,2039,10195,Debit Card,************70.0,STR001,Delhi,Completed,2026-07-02 17:20:57,75971a34,High
TXN000017,CUST0003,2024-07-09 20:39:05,P040,Board Game,Toys,3,2612,7836,Cash,,STR009,Jaipur,Completed,2026-07-02 17:20:57,75971a34,High
TXN000018,CUST0003,2025-01-09 15:54:32,P018,Water Bottle,Home & Kitchen,2,473,946,Credit Card,**********12.0,STR010,Lucknow,Completed,2026-07-02 17:20:57,75971a34,Low
TXN000019,CUST0003,2025-12-12 15:01:53,P029,Sunscreen,Beauty,3,1203,3609,UPI,,STR006,Kolkata,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000020,CUST0003,2025-03-27 12:22:27,P024,Dumbbells,Sports,3,2743,8229,UPI,,STR002,Mumbai,Completed,2026-07-02 17:20:57,75971a34,High
TXN000021,CUST0003,2025-03-13 03:27:01,P037,Building Blocks,Toys,2,726,1452,Credit Card,************91.0,STR004,Hyderabad,Returned,2026-07-02 17:20:57,75971a34,Medium
TXN000022,CUST0003,2024-09-10 15:09:30,P034,Data Science Handbook,Books,2,1747,3494,Debit Card,**************49.0,STR005,Chennai,Returned,2026-07-02 17:20:57,75971a34,Medium
TXN000023,CUST0003,2025-09-02 22:26:38,P040,Board Game,Toys,2,835,1670,Debit Card,***********66.0,STR004,Hyderabad,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000024,CUST0003,2025-03-21 17:28:11,P010,Sneakers,Clothing,1,6252,6252,UPI,,STR001,Delhi,Completed,2026-07-02 17:20:57,75971a34,High
TXN000025,CUST0003,2026-03-27 11:17:23,P027,Shampoo,Beauty,5,567,2835,UPI,,STR004,Hyderabad,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000026,CUST0003,2025-09-10 00:34:53,P003,Tablet,Electronics,3,45742,137226,UPI,,STR010,Lucknow,Completed,2026-07-02 17:20:57,75971a34,High
TXN000027,CUST0003,2025-12-28 19:38:12,P007,Jeans,Clothing,3,2988,8964,UPI,,STR003,Bengaluru,Completed,2026-07-02 17:20:57,75971a34,High
TXN000028,CUST0003,2024-08-15 13:34:16,P009,Hoodie,Clothing,4,1912,7648,UPI,,STR004,Hyderabad,Completed,2026-07-02 17:20:57,75971a34,High
TXN000029,CUST0003,2026-03-21 03:26:38,P008,Jacket,Clothing,1,2115,2115,Debit Card,**************33.0,STR005,Chennai,Cancelled,2026-07-02 17:20:57,75971a34,Medium
TXN000030,CUST0003,2025-03-26 23:53:50,P029,Sunscreen,Beauty,4,416,1664,Credit Card,**************28.0,STR006,Kolkata,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000031,CUST0003,2026-03-06 20:41:15,P013,Cooking Oil,Grocery,5,550,2750,Cash,,STR010,Lucknow,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000032,CUST0003,2025-06-11 13:03:29,P026,Face Wash,Beauty,2,654,1308,Cash,,STR006,Kolkata,Completed,2026-07-02 17:20:57,75971a34,Medium
TXN000033,CUST0003,2024-10-02 00:25:27,P034,Data Science Handbook,Books,4,1377,5508,UPI,,STR009,Jaipur,Completed,2026-07-02 17:20:57,75971a34,High
TXN000034,CUST0003,2025-04-29 18:55:24,P008,Jacket,Clothing,3,4047,12141,UPI,,STR002,Mumbai,Completed,2026-07-02 17:20:57,75971a34,High
TXN000035,CUST0003,2026-04-18 08:17:33,P007,Jeans,Clothing,5,819,4095,UPI,,STR005,Chennai,Completed,2026-07-02 17:20:57,75971a34,Medium
