customer_id,full_name,email,phone,address,city,state,postal_code,date_of_birth,gender,registration_date,loyalty_tier
CUST0001,Gaurang Talwar,etanarayan@example.net,9606155500,"08/27, Balay Nagar",Kolkata,West Bengal,283840,1974-09-21,Male,2024-10-20,Bronze
CUST0002,Riya Mall,aahana48@example.org,1576580410,"00/80, Pandya Chowk",Bengaluru,Karnataka,314063,1975-09-09,Other,2026-06-12,Silver
CUST0003,Upkaar Shan,sagarkai@example.net,1677378496,"H.No. 18, Sha Zila",Mumbai,Maharashtra,221937,2004-11-20,Female,2025-03-27,Bronze
CUST0004,Yachana Mall,ryan53@example.com,6523698995,"H.No. 158, Dugar Road",Bengaluru,Karnataka,201155,1973-02-01,Male,2026-01-12,Platinum
CUST0005,Zansi Chaudhari,wahab65@example.net,7495106253,"H.No. 384, Mishra Ganj",Delhi,Delhi,391349,1982-08-18,Male,2021-07-24,Bronze
CUST0006,Jagat Mandal,yamble@example.com,0991191970,"53/182, Narain Chowk",Jaipur,Rajasthan,335424,1957-05-30,Female,2023-04-01,Gold
CUST0007,Harshil Varughese,schahal@example.org,8751799663,"742, Sangha",Jaipur,Rajasthan,676257,1949-09-07,Other,2022-11-01,Gold
CUST0008,Balhaar Kala,chaudharydayita@example.org,2414573270,"H.No. 334, Kalla Zila",Chennai,Tamil Nadu,561410,2004-06-21,Male,2026-05-29,Bronze
CUST0009,Urmi Sani,samesh59@example.com,5040690393,"528, Bhakta Zila",Pune,Maharashtra,366820,1987-05-10,Female,2023-04-22,Bronze
CUST0010,Imaran Chakraborty,cnadkarni@example.com,9843953595,"65, Bhat Zila",Kolkata,West Bengal,230650,1951-03-19,Other,2025-04-25,Platinum
CUST0011,Ekaraj Desai,bbehl@example.org,1052715357,"H.No. 249, Nair Circle",Jaipur,Rajasthan,980797,2000-06-23,Other,2025-12-11,Bronze
CUST0012,Wriddhish Rau,shenoyvrinda@example.com,3226821563,"69/744, Saraf Path",Hyderabad,Telangana,434238,1959-07-16,Female,2025-06-17,Bronze
CUST0013,Lopa Goswami,ymane@example.org,7701955251,"689, Agarwal",Delhi,Delhi,290738,1981-10-11,Female,2021-10-08,Platinum
CUST0014,Tanvi Nath,tarakrao@example.org,4596130489,"70/61, Nori Marg",Chennai,Tamil Nadu,340602,1958-05-07,Male,2024-06-07,Bronze
CUST0015,Nakul Kari,mahalnaksh@example.org,9270539466,"H.No. 20, Aurora Road",Jaipur,Rajasthan,170181,1993-07-01,Female,2022-09-16,Silver
CUST0016,Anthony Bhagat,chackosamesh@example.net,1837170413,"24, Mane",Jaipur,Rajasthan,878984,1953-12-26,Male,2021-09-15,Platinum
CUST0017,Utkarsh Thaker,hben@example.org,6757800436,"H.No. 54, Bora Road",Bengaluru,Karnataka,627216,1967-11-28,Female,2022-11-30,Bronze
CUST0018,Manthan Jhaveri,dadaisaiah@example.org,3546417998,"H.No. 255, Dugar",Hyderabad,Telangana,581584,1958-10-04,Other,2022-03-23,Bronze
CUST0019,Omaja Wagle,omajagolla@example.net,0627205470,"H.No. 430, Pandit Path",Kolkata,West Bengal,501378,1970-02-23,Male,2023-02-10,Silver
CUST0020,Chakradev Mangat,oshah@example.org,1072696598,"59/90, Buch Chowk",Pune,Maharashtra,258413,1995-07-17,Male,2025-10-22,Silver
CUST0021,Samesh Gola,balakrishnanbahadurjit@example.net,0867773978,"21, Contractor",Delhi,Delhi,589846,1988-09-01,Male,2023-02-21,Bronze
