customer_id,full_name,email,phone,address,city,state,postal_code,date_of_birth,gender,registration_date,loyalty_tier,ingestion_timestamp,pipeline_run_id
CUST0001,G****** T*****,et********@example.net,XXXXXX5500,REDACTED,Kolkata,West Bengal,283840,1974-09-21,Male,2024-10-20,Bronze,2026-07-02 16:18:55,6c59e737
CUST0002,R*** M***,aa******@example.org,XXXXXX0410,REDACTED,Bengaluru,Karnataka,314063,1975-09-09,Other,2026-06-12,Silver,2026-07-02 16:18:55,6c59e737
CUST0003,U***** S***,sa******@example.net,XXXXXX8496,REDACTED,Mumbai,Maharashtra,221937,2004-11-20,Female,2025-03-27,Bronze,2026-07-02 16:18:55,6c59e737
CUST0004,Y****** M***,ry****@example.com,XXXXXX8995,REDACTED,Bengaluru,Karnataka,201155,1973-02-01,Male,2026-01-12,Platinum,2026-07-02 16:18:55,6c59e737
CUST0005,Z**** C********,wa*****@example.net,XXXXXX6253,REDACTED,Delhi,Delhi,391349,1982-08-18,Male,2021-07-24,Bronze,2026-07-02 16:18:55,6c59e737
CUST0006,J**** M*****,ya****@example.com,XXXXXX1970,REDACTED,Jaipur,Rajasthan,335424,1957-05-30,Female,2023-04-01,Gold,2026-07-02 16:18:55,6c59e737
CUST0007,H****** V********,sc*****@example.org,XXXXXX9663,REDACTED,Jaipur,Rajasthan,676257,1949-09-07,Other,2022-11-01,Gold,2026-07-02 16:18:55,6c59e737
CUST0008,B****** K***,ch*************@example.org,XXXXXX3270,REDACTED,Chennai,Tamil Nadu,561410,2004-06-21,Male,2026-05-29,Bronze,2026-07-02 16:18:55,6c59e737
CUST0009,U*** S***,sa******@example.com,XXXXXX0393,REDACTED,Pune,Maharashtra,366820,1987-05-10,Female,2023-04-22,Bronze,2026-07-02 16:18:55,6c59e737
CUST0010,I***** C**********,cn*******@example.com,XXXXXX3595,REDACTED,Kolkata,West Bengal,230650,1951-03-19,Other,2025-04-25,Platinum,2026-07-02 16:18:55,6c59e737
CUST0011,E***** D****,bb***@example.org,XXXXXX5357,REDACTED,Jaipur,Rajasthan,980797,2000-06-23,Other,2025-12-11,Bronze,2026-07-02 16:18:55,6c59e737
